<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
30.09.2020,16:21:00,114294,115124,107952,109366,64
30.09.2020,16:22:00,110071,115179,107914,109371,95
30.09.2020,16:23:00,110704,115176,108011,108217,82
30.09.2020,16:24:00,115023,115277,107924,113896,86
30.09.2020,16:25:00,113714,115295,107966,114858,36
30.09.2020,16:26:00,113988,115232,107949,110651,62
30.09.2020,16:27:00,111376,115265,108434,112512,7
30.09.2020,16:28:00,111110,115123,108045,115064,76
30.09.2020,16:29:00,112570,115127,108007,110928,45
30.09.2020,16:30:00,109001,115000,108036,108503,52
30.09.2020,16:31:00,111450,115293,108146,113848,64
30.09.2020,16:32:00,115292,115292,108073,111293,22
30.09.2020,16:33:00,114241,115249,107963,110289,44
30.09.2020,16:34:00,107935,115105,107920,108886,4
30.09.2020,16:35:00,115299,115299,107948,113115,97
30.09.2020,16:36:00,108869,115271,107911,114661,48
30.09.2020,16:37:00,113629,115201,107942,111386,89
30.09.2020,16:38:00,108080,115128,107989,109065,3
30.09.2020,16:39:00,110246,115211,107912,109460,72
30.09.2020,16:40:00,112339,115211,108240,113511,2
30.09.2020,16:41:00,114024,115276,107944,108952,39
30.09.2020,16:42:00,111470,115223,108151,110245,42
30.09.2020,16:43:00,108593,115233,108034,108949,18
30.09.2020,16:44:00,114502,115205,108149,111488,62
30.09.2020,16:45:00,112705,114971,108150,108934,14
30.09.2020,16:46:00,111051,115091,108005,110871,28
30.09.2020,16:47:00,109825,114963,107978,114651,86
30.09.2020,16:48:00,110609,115279,107967,109716,13
30.09.2020,16:49:00,108145,115132,107910,113983,20
30.09.2020,16:50:00,111427,115274,107922,114673,44
30.09.2020,16:51:00,114245,115283,107917,109659,5
30.09.2020,16:52:00,110029,115286,108072,114318,82
30.09.2020,16:53:00,108342,115203,108038,109054,88
30.09.2020,16:54:00,108958,115117,108171,108236,9
30.09.2020,16:55:00,109329,115188,107975,108250,95
30.09.2020,16:56:00,115030,115265,107993,114318,33
30.09.2020,16:57:00,108338,115102,108019,114728,4
30.09.2020,16:58:00,108078,115200,108066,110800,93
30.09.2020,16:59:00,109345,115191,107908,115003,87
30.09.2020,17:01:00,112584,115044,107907,113519,1
30.09.2020,17:02:00,114929,115273,107933,108564,96
30.09.2020,17:03:00,114870,115289,108181,110240,5
30.09.2020,17:04:00,110474,114967,107900,114124,77
30.09.2020,17:05:00,111311,115243,107979,111214,78
30.09.2020,17:06:00,111518,115204,108492,113358,33
30.09.2020,17:07:00,114678,115129,107912,112168,95
30.09.2020,17:08:00,113603,114718,107904,113299,31
30.09.2020,17:09:00,112766,115033,108379,111349,25
30.09.2020,17:10:00,109025,115278,108002,110305,16
30.09.2020,17:11:00,114415,115271,108270,111106,6
30.09.2020,17:12:00,113604,115199,108078,110557,19
30.09.2020,17:13:00,110464,115277,108123,113008,28
30.09.2020,17:14:00,115200,115263,107983,112275,49
30.09.2020,17:15:00,113036,115296,107979,111093,19
30.09.2020,17:16:00,111550,114886,107930,111825,88
30.09.2020,17:17:00,114075,115278,107933,110053,37
30.09.2020,17:18:00,112083,115291,108045,113163,80
30.09.2020,17:19:00,108254,115289,108011,114357,26
30.09.2020,17:20:00,111757,115265,108028,112031,25
30.09.2020,17:21:00,109567,115070,107968,112354,96
30.09.2020,17:22:00,112836,115152,108016,110008,78
30.09.2020,17:23:00,108624,115143,107922,110362,42
30.09.2020,17:24:00,113821,115251,107924,112439,27
30.09.2020,17:25:00,112850,115197,107923,114239,33
30.09.2020,17:26:00,113189,115230,108043,113761,46
30.09.2020,17:27:00,112462,115249,108204,110424,40
30.09.2020,17:28:00,114615,115247,108236,113350,56
30.09.2020,17:29:00,113192,115137,107915,111568,76
30.09.2020,17:30:00,113614,115277,108046,112144,79
30.09.2020,17:31:00,115178,115287,107975,108711,39
30.09.2020,17:32:00,108495,115229,107951,108482,39
30.09.2020,17:33:00,112452,114876,108061,110126,80
30.09.2020,17:34:00,111721,115124,108049,114455,58
30.09.2020,17:35:00,113873,115202,107924,108977,96
30.09.2020,17:36:00,113876,115010,107994,112245,70
30.09.2020,17:37:00,109978,115190,107910,114778,59
30.09.2020,17:38:00,112172,115228,107907,115228,9
30.09.2020,17:39:00,111852,115065,108068,112815,76
30.09.2020,17:40:00,113142,114976,107944,112542,97
30.09.2020,17:41:00,112669,115284,107991,110893,62
30.09.2020,17:42:00,114268,115198,107957,108737,77
30.09.2020,17:43:00,108534,115200,108180,113570,27
30.09.2020,17:44:00,110020,115166,107911,112998,4
30.09.2020,17:45:00,110720,115195,108023,114582,37
30.09.2020,17:46:00,108802,115244,107908,114753,43
30.09.2020,17:47:00,113773,115180,107941,110465,78
30.09.2020,17:48:00,110192,115256,107954,108165,89
30.09.2020,17:49:00,111616,115054,107913,112117,8
30.09.2020,17:50:00,113097,115053,108055,111505,1
30.09.2020,17:51:00,113047,115271,108013,109646,73
30.09.2020,17:52:00,108072,115284,108072,110095,26
30.09.2020,17:53:00,113247,115072,107917,112217,5
30.09.2020,17:54:00,108528,115184,107976,109643,13
30.09.2020,17:55:00,109786,115295,108002,112353,2
30.09.2020,17:56:00,113214,115146,107955,109194,76
30.09.2020,17:57:00,109345,115298,108130,113623,3
30.09.2020,17:58:00,108470,115115,107906,113180,85
30.09.2020,17:59:00,115250,115250,108013,110176,31
30.09.2020,18:00:00,114649,115268,108044,112295,34
30.09.2020,18:01:00,111812,115129,107933,114875,66
30.09.2020,18:02:00,114799,115154,107901,112893,62
30.09.2020,18:03:00,113096,115288,108049,112164,11
30.09.2020,18:04:00,111916,115117,108022,109537,89
30.09.2020,18:05:00,114042,115201,107900,108928,30
30.09.2020,18:06:00,115008,115264,107933,115264,7
30.09.2020,18:07:00,109239,115264,108100,108164,37
30.09.2020,18:08:00,110543,115125,108075,113409,49
30.09.2020,18:09:00,114969,115237,107924,112688,97
30.09.2020,18:10:00,113163,115255,107954,107954,28
30.09.2020,18:11:00,112965,115207,107949,111861,52
30.09.2020,18:12:00,110499,115094,107994,109265,4
30.09.2020,18:13:00,110891,115173,107935,114934,24
30.09.2020,18:14:00,111273,114865,108017,114593,63
30.09.2020,18:15:00,111998,115002,108079,112241,80
30.09.2020,18:16:00,113308,115216,108300,111020,80
30.09.2020,18:17:00,110197,115274,108152,109656,91
30.09.2020,18:18:00,109409,115150,108098,108996,54
30.09.2020,18:19:00,111927,115231,107941,115052,25
30.09.2020,18:20:00,112866,114912,107900,111104,4
30.09.2020,18:21:00,112570,115268,107908,110032,52
30.09.2020,18:22:00,111913,115274,107901,111978,26
30.09.2020,18:23:00,110314,115222,108212,111386,8
30.09.2020,18:24:00,112184,115233,108486,112251,81
30.09.2020,18:25:00,113107,115146,108028,109608,83
30.09.2020,18:26:00,112764,115141,108196,114066,37
30.09.2020,18:27:00,113188,115150,107924,114288,43
30.09.2020,18:28:00,110767,115268,108110,110586,50
30.09.2020,18:29:00,115260,115260,107929,110391,64
30.09.2020,18:30:00,109662,115177,107951,111301,8
30.09.2020,18:31:00,108874,115009,107989,114333,34
30.09.2020,18:32:00,111187,115261,107910,108579,96
30.09.2020,18:33:00,112538,115130,107958,114004,64
30.09.2020,18:34:00,110923,115262,108118,113853,76
30.09.2020,18:35:00,112740,114974,107931,107931,47
30.09.2020,18:36:00,114602,115173,107995,109274,70
30.09.2020,18:37:00,112524,115257,108024,113388,63
30.09.2020,18:38:00,111333,115215,108058,112242,11
30.09.2020,18:39:00,114456,115079,108076,114428,55
30.09.2020,18:40:00,112954,115244,107953,113744,13
30.09.2020,18:41:00,110851,114891,107922,108700,16
30.09.2020,18:42:00,115024,115024,108096,108096,66
30.09.2020,18:43:00,108960,114922,108012,114692,97
30.09.2020,18:44:00,112192,115189,108190,114540,95
30.09.2020,18:45:00,111611,115208,108089,108703,73
30.09.2020,18:46:00,113348,115182,108525,113910,38
30.09.2020,18:47:00,112018,115264,107982,111812,25
30.09.2020,18:48:00,109763,115064,108271,110865,83
30.09.2020,18:49:00,112984,115200,107928,114089,11
30.09.2020,18:50:00,112282,115217,107968,110894,92
30.09.2020,18:51:00,110015,115164,108203,112243,24
30.09.2020,18:52:00,114752,115110,108385,109010,39
30.09.2020,18:53:00,110244,115074,108076,112203,43
30.09.2020,18:54:00,108444,115221,107911,115221,12
30.09.2020,18:55:00,113398,115296,108086,108154,97
30.09.2020,18:56:00,108764,115274,108056,111991,31
30.09.2020,18:57:00,111524,115176,107942,111206,77
30.09.2020,18:58:00,108058,115280,107916,111924,66
30.09.2020,18:59:00,110385,115060,108066,113849,71
30.09.2020,19:00:00,113685,115288,107975,110822,94
30.09.2020,19:01:00,108570,115027,107983,110019,94
30.09.2020,19:02:00,110276,115034,108145,110157,17
30.09.2020,19:03:00,109992,115282,107921,113271,94
30.09.2020,19:04:00,112304,114898,107928,113312,78
30.09.2020,19:05:00,109668,114908,107904,114908,12
30.09.2020,19:06:00,111820,115196,108383,110007,37
30.09.2020,19:07:00,108100,115256,107917,110443,26
30.09.2020,19:08:00,109190,115248,108175,108472,74
30.09.2020,19:09:00,112476,115236,108281,109581,13
30.09.2020,19:10:00,111714,115197,108017,108231,60
30.09.2020,19:11:00,112725,115263,107916,109379,89
30.09.2020,19:12:00,113397,115088,108154,114190,27
30.09.2020,19:13:00,109949,115117,108055,111453,29
30.09.2020,19:14:00,110330,115243,107986,110002,7
30.09.2020,19:15:00,108931,115242,108029,108158,15
30.09.2020,19:16:00,108720,115289,107970,111847,62
30.09.2020,19:17:00,110482,115234,107970,108118,4
30.09.2020,19:18:00,112247,115237,108058,109465,82
30.09.2020,19:19:00,114719,115120,107936,109517,74
30.09.2020,19:20:00,114946,115198,108431,111625,14
30.09.2020,19:21:00,111513,115299,107939,109705,28
30.09.2020,19:22:00,112687,115161,108080,108952,32
30.09.2020,19:23:00,113299,115232,107966,111520,67
30.09.2020,19:24:00,110898,115237,108283,110368,96
30.09.2020,19:25:00,112781,115013,108053,114242,68
30.09.2020,19:26:00,107963,115208,107963,109886,11
30.09.2020,19:27:00,109072,115235,107941,112148,1
30.09.2020,19:28:00,111333,115061,108001,109009,22
30.09.2020,19:29:00,115223,115223,108065,113154,51
30.09.2020,19:30:00,111934,115294,107920,108739,32
30.09.2020,19:31:00,111685,115255,107972,112809,42
30.09.2020,19:32:00,113921,115214,107955,114852,10
30.09.2020,19:33:00,113445,115098,108089,115042,19
30.09.2020,19:34:00,107917,115059,107917,109977,55
30.09.2020,19:35:00,112838,115096,107958,109173,89
30.09.2020,19:36:00,111179,115282,107901,114095,22
30.09.2020,19:37:00,110024,115290,107906,115262,71
30.09.2020,19:38:00,110443,115299,107989,111245,40
30.09.2020,19:39:00,110837,115297,108730,112387,69
30.09.2020,19:40:00,114955,115171,107987,114929,43
30.09.2020,19:41:00,113642,115270,107901,112557,1
30.09.2020,19:42:00,113833,115182,107968,112505,64
30.09.2020,19:43:00,114509,115225,108083,110420,73
30.09.2020,19:44:00,115234,115239,108164,113109,62
30.09.2020,19:45:00,110869,114892,108084,112932,87
30.09.2020,19:46:00,110644,115290,108290,113295,5
30.09.2020,19:47:00,114695,115203,107936,113862,42
30.09.2020,19:48:00,108166,115156,107978,113210,51
30.09.2020,19:49:00,108759,115243,108039,112140,95
30.09.2020,19:50:00,112156,115244,107959,109159,74
30.09.2020,19:51:00,109889,115260,108049,115260,63
30.09.2020,19:52:00,109335,115264,108043,108464,81
30.09.2020,19:53:00,109960,115195,107980,109214,4
30.09.2020,19:54:00,111227,115298,107947,112710,73
30.09.2020,19:55:00,112707,115281,108056,109231,31
30.09.2020,19:56:00,109411,114824,107984,113599,91
30.09.2020,19:57:00,115015,115181,108215,112944,9
30.09.2020,19:58:00,109913,115261,108020,114023,4
30.09.2020,19:59:00,113121,115230,107986,112849,35
30.09.2020,20:00:00,108843,115297,107920,111928,45
01.10.2020,10:00:00,113931,114945,107939,112369,55
01.10.2020,10:01:00,113322,115169,108346,109671,1
01.10.2020,10:02:00,113403,115292,107938,111293,51
01.10.2020,10:03:00,114372,115217,107970,112904,32
01.10.2020,10:04:00,112043,115235,107919,110204,4
01.10.2020,10:05:00,109745,115287,107996,108678,27
01.10.2020,10:06:00,115228,115228,108155,110316,37
01.10.2020,10:07:00,110373,115125,107938,111038,9
01.10.2020,10:08:00,113577,115227,108036,115176,87
01.10.2020,10:09:00,110606,114975,108024,108570,60
01.10.2020,10:10:00,114754,115254,108047,115039,94
01.10.2020,10:11:00,112488,115299,107933,110806,14
01.10.2020,10:12:00,114761,115219,107923,113872,51
01.10.2020,10:13:00,109802,115264,107929,109061,16
01.10.2020,10:14:00,112633,115223,107946,111767,2
01.10.2020,10:15:00,113661,115265,107918,113820,19
01.10.2020,10:16:00,111015,115190,107921,111445,37
01.10.2020,10:17:00,112958,115270,107975,112699,73
01.10.2020,10:18:00,114541,115259,108249,112888,14
01.10.2020,10:19:00,108116,114889,107910,110028,91
01.10.2020,10:20:00,111740,115104,108034,110288,78
01.10.2020,10:21:00,109659,115252,107947,113926,76
01.10.2020,10:22:00,115253,115253,107925,113926,37
01.10.2020,10:23:00,110958,115282,107910,113401,92
01.10.2020,10:24:00,114324,115270,107914,111785,52
01.10.2020,10:25:00,111364,115106,107945,111218,96
01.10.2020,10:26:00,109352,115240,108082,114586,30
01.10.2020,10:27:00,110154,115223,108017,114692,85
01.10.2020,10:28:00,108573,115137,108152,113513,54
01.10.2020,10:29:00,110639,115218,107954,113130,68
01.10.2020,10:30:00,114828,115215,108047,113543,46
01.10.2020,10:31:00,112565,115252,107918,111434,39
01.10.2020,10:32:00,110155,115276,107920,110828,95
01.10.2020,10:33:00,114685,115299,108088,111621,7
01.10.2020,10:34:00,112438,115129,108020,110761,87
01.10.2020,10:35:00,110989,115266,107938,109925,17
01.10.2020,10:36:00,109737,115232,108046,109512,85
01.10.2020,10:37:00,109725,115139,107982,114251,47
01.10.2020,10:38:00,109115,115295,107955,109047,73
01.10.2020,10:39:00,114747,114983,108311,114472,68
01.10.2020,10:40:00,114508,114780,108044,114780,44
01.10.2020,10:41:00,113211,115213,107916,112731,85
01.10.2020,10:42:00,109450,115270,108044,115270,73
01.10.2020,10:43:00,114795,115235,108133,108626,82
01.10.2020,10:44:00,111785,115256,107911,110868,7
01.10.2020,10:45:00,112050,114900,107917,108433,73
01.10.2020,10:46:00,113060,115280,107904,113531,14
01.10.2020,10:47:00,109779,115199,108016,112363,91
01.10.2020,10:48:00,112583,115240,108097,109605,81
01.10.2020,10:49:00,109425,115083,107927,110897,12
01.10.2020,10:50:00,115127,115127,108257,114868,70
01.10.2020,10:51:00,114937,115282,108008,108874,55
01.10.2020,10:52:00,110168,115245,107914,108617,52
01.10.2020,10:53:00,112678,115273,107911,112436,43
01.10.2020,10:54:00,107995,115261,107936,113088,2
01.10.2020,10:55:00,110772,115124,108084,110934,73
01.10.2020,10:56:00,109697,115223,107949,111158,58
01.10.2020,10:57:00,114470,114769,108080,110380,38
01.10.2020,10:58:00,110920,115232,107964,114466,43
01.10.2020,10:59:00,110807,115259,108214,111576,43
01.10.2020,11:00:00,110465,115119,107941,108799,46
01.10.2020,11:01:00,109046,115176,108113,113014,1
01.10.2020,11:02:00,110014,114920,107985,111294,87
01.10.2020,11:03:00,108271,115129,108067,110687,89
01.10.2020,11:04:00,110598,115213,107957,111939,4
01.10.2020,11:05:00,115178,115240,107995,109928,63
01.10.2020,11:06:00,109633,115261,107967,109122,12
01.10.2020,11:07:00,111114,115221,108163,114580,13
01.10.2020,11:08:00,108596,115259,107943,112179,46
01.10.2020,11:09:00,108182,115078,108173,109684,43
01.10.2020,11:10:00,109770,115256,108050,108307,45
01.10.2020,11:11:00,115098,115098,107960,111215,71
01.10.2020,11:12:00,112725,115228,108246,112847,20
01.10.2020,11:14:00,111363,115262,107903,110743,14
01.10.2020,11:15:00,109237,115254,108265,114313,23
01.10.2020,11:16:00,111888,115246,107958,109153,71
01.10.2020,11:17:00,110244,114894,108093,113929,39
01.10.2020,11:19:00,113493,115030,108192,109000,19
01.10.2020,11:20:00,114305,115265,108078,108306,51
01.10.2020,11:21:00,109305,115013,108008,113659,45
01.10.2020,11:22:00,114089,115278,107921,113165,77
01.10.2020,11:23:00,112685,115134,108001,108345,15
01.10.2020,11:24:00,108316,114782,107978,113837,21
01.10.2020,11:25:00,114731,115272,108035,108910,27
01.10.2020,11:26:00,112034,115200,107940,109572,76
01.10.2020,11:27:00,110838,115190,107930,114258,83
01.10.2020,11:28:00,112724,115287,107966,113613,19
01.10.2020,11:29:00,108363,114706,107919,111998,23
01.10.2020,11:30:00,113432,114850,107968,111814,52
01.10.2020,11:31:00,114513,115074,107947,112307,56
01.10.2020,11:32:00,113187,115206,108226,109801,35
01.10.2020,11:33:00,115060,115215,107924,111958,52
01.10.2020,11:34:00,110275,115103,107996,112323,31
01.10.2020,11:35:00,114897,115193,107935,113809,92
01.10.2020,11:36:00,114136,115138,108269,111813,56
01.10.2020,11:37:00,108868,115269,107904,112489,44
01.10.2020,11:38:00,113422,114824,108023,108237,92
01.10.2020,11:39:00,108751,114959,107968,108390,23
01.10.2020,11:40:00,110367,115183,107934,112694,7
01.10.2020,11:41:00,108417,115136,108038,110029,81
01.10.2020,11:42:00,109326,115137,107931,109740,70
01.10.2020,11:43:00,112339,115278,107953,114999,94
01.10.2020,11:44:00,114159,115291,107974,111993,49
01.10.2020,11:45:00,108143,115098,107971,114839,82
01.10.2020,11:46:00,111537,115237,107976,112624,37
01.10.2020,11:47:00,114637,115247,108423,112302,97
01.10.2020,11:48:00,111060,115297,108052,114686,56
01.10.2020,11:49:00,111676,115150,108059,114532,23
01.10.2020,11:50:00,110252,114906,107958,109564,52
01.10.2020,11:51:00,114545,115160,107978,110192,30
01.10.2020,11:52:00,111428,115093,108002,110229,95
01.10.2020,11:53:00,112548,115202,108022,109473,89
01.10.2020,11:54:00,110188,115257,107954,110960,94
01.10.2020,11:55:00,109333,115285,108086,115132,85
01.10.2020,11:56:00,113957,115247,108124,108124,48
01.10.2020,11:57:00,111204,115299,108130,109869,95
01.10.2020,11:58:00,110024,115083,107975,111250,45
01.10.2020,11:59:00,111209,115289,107994,114104,93
01.10.2020,12:00:00,112088,115270,107905,115125,10
01.10.2020,12:01:00,111816,115192,107919,112888,34
01.10.2020,12:02:00,115017,115179,108138,108387,25
01.10.2020,12:03:00,113695,115224,108025,112050,51
01.10.2020,12:04:00,114062,115246,107927,108893,28
01.10.2020,12:05:00,113704,115255,107915,112005,30
01.10.2020,12:06:00,114918,115293,107962,110223,55
01.10.2020,12:07:00,109985,114989,107983,113998,65
01.10.2020,12:08:00,108444,115243,108000,108000,15
01.10.2020,12:09:00,110272,115016,107913,108272,76
01.10.2020,12:10:00,111409,115185,107929,111143,87
01.10.2020,12:11:00,111914,115230,107917,113012,67
01.10.2020,12:12:00,109581,115195,108083,113771,47
01.10.2020,12:13:00,111198,115223,107937,115193,43
01.10.2020,12:14:00,111520,115218,108111,108578,26
01.10.2020,12:15:00,108540,115084,108040,108689,33
01.10.2020,12:16:00,110862,115262,107995,111885,43
01.10.2020,12:17:00,112057,115225,107947,115225,9
01.10.2020,12:18:00,112783,115107,107917,108178,1
01.10.2020,12:19:00,109357,115140,107925,113328,20
01.10.2020,12:20:00,115277,115277,107982,108108,26
01.10.2020,12:21:00,112749,115283,107918,111210,31
01.10.2020,12:22:00,109271,115175,108105,114099,47
01.10.2020,12:23:00,112145,115266,107978,108711,63
01.10.2020,12:24:00,110642,115264,107994,109314,63
01.10.2020,12:25:00,113192,115170,107942,109955,45
01.10.2020,12:26:00,109524,115083,107953,114956,42
01.10.2020,12:27:00,107983,115291,107983,115078,50
01.10.2020,12:28:00,110792,115241,107997,110218,91
01.10.2020,12:29:00,112634,115260,107912,111656,69
01.10.2020,12:30:00,110152,115206,107934,113746,73
01.10.2020,12:31:00,110806,115274,108087,110832,11
01.10.2020,12:32:00,109646,115289,107911,114730,86
01.10.2020,12:33:00,111290,115193,107911,111996,87
01.10.2020,12:34:00,113912,115056,108182,114044,34
01.10.2020,12:35:00,110283,115262,107915,109380,20
01.10.2020,12:36:00,112974,115187,107955,114854,25
01.10.2020,12:37:00,114579,115224,108102,111404,53
01.10.2020,12:38:00,108169,114519,108161,108428,67
01.10.2020,12:39:00,110478,115236,108110,114718,7
01.10.2020,12:40:00,110479,115079,108281,110988,17
01.10.2020,12:41:00,113309,115265,107951,111836,76
01.10.2020,12:42:00,114427,115276,107938,109068,87
01.10.2020,12:43:00,115285,115285,108246,112749,68
01.10.2020,12:44:00,107965,115200,107965,111109,96
01.10.2020,12:45:00,113268,115114,107938,110394,40
01.10.2020,12:46:00,113418,115243,107965,109249,43
01.10.2020,12:47:00,108418,115244,108151,111791,16
01.10.2020,12:48:00,109364,115293,108000,110143,34
01.10.2020,12:49:00,108903,115140,107931,113146,25
01.10.2020,12:50:00,113839,115181,107906,114176,37
01.10.2020,12:51:00,113373,115297,107988,108676,94
01.10.2020,12:52:00,113158,115229,107920,113061,92
01.10.2020,12:53:00,114791,115242,107927,111960,38
01.10.2020,12:54:00,112864,115248,107932,108276,33
01.10.2020,12:55:00,114980,114980,107934,111912,87
01.10.2020,12:56:00,108891,115221,108514,110706,65
01.10.2020,12:57:00,110895,115154,108043,112105,31
01.10.2020,12:58:00,110199,115031,107949,108858,12
01.10.2020,12:59:00,111127,115017,107947,114868,63
01.10.2020,13:00:00,108313,115099,107930,114724,40
01.10.2020,13:01:00,114354,115277,107900,108496,47
01.10.2020,13:02:00,110370,115071,107916,107969,16
01.10.2020,13:03:00,109102,115155,107917,109553,6
01.10.2020,13:04:00,113669,115211,108188,108188,44
01.10.2020,13:05:00,113098,115243,108180,111095,84
01.10.2020,13:06:00,111479,115276,107952,113965,27
01.10.2020,13:07:00,114601,115041,107927,113553,78
01.10.2020,13:08:00,112158,114999,107984,109017,26
01.10.2020,13:09:00,110449,115174,108357,113768,92
01.10.2020,13:10:00,114554,115275,107923,113164,58
01.10.2020,13:11:00,114661,115238,107927,110061,84
01.10.2020,13:12:00,114870,115269,107945,110564,91
01.10.2020,13:13:00,115090,115217,107933,110801,75
01.10.2020,13:14:00,114411,115262,108043,109606,63
01.10.2020,13:15:00,114300,115184,107983,111404,42
01.10.2020,13:16:00,108489,115253,107905,110773,78
01.10.2020,13:17:00,112090,115236,108155,113072,66
01.10.2020,13:18:00,110950,115286,108010,108181,58
01.10.2020,13:19:00,110564,115194,108123,114893,3
01.10.2020,13:20:00,115125,115125,108080,111284,80
01.10.2020,13:21:00,114722,115150,107908,110997,47
01.10.2020,13:22:00,110406,115298,107942,109378,44
01.10.2020,13:23:00,109510,115208,107992,110605,64
01.10.2020,13:24:00,113892,115044,107925,112788,14
01.10.2020,13:25:00,112407,115101,107952,114667,28
01.10.2020,13:26:00,108111,115284,107902,114632,2
01.10.2020,13:27:00,114693,115235,108061,115235,70
01.10.2020,13:28:00,113776,114971,107925,109254,51
01.10.2020,13:29:00,111225,115034,107916,113627,35
01.10.2020,13:30:00,110104,115270,107916,115270,43
01.10.2020,13:31:00,112368,115218,107921,110297,48
01.10.2020,13:32:00,110233,115230,108078,111864,95
01.10.2020,13:33:00,109134,115268,107970,111388,56
01.10.2020,13:35:00,109068,115197,107941,114094,98
01.10.2020,13:36:00,114876,115015,107997,114094,54
01.10.2020,13:37:00,111123,115184,107910,109675,51
01.10.2020,13:38:00,114781,115290,108010,110840,52
01.10.2020,13:39:00,113887,115176,108028,113634,76
01.10.2020,13:40:00,114823,115134,108097,109335,48
01.10.2020,13:41:00,114812,115231,108105,110773,3
01.10.2020,13:42:00,114946,115248,108082,111204,5
01.10.2020,13:43:00,108029,115106,107960,114671,72
01.10.2020,13:44:00,113569,115217,107999,109625,16
01.10.2020,13:45:00,112876,115290,107972,113467,20
01.10.2020,13:46:00,110371,115053,108145,115053,77
01.10.2020,13:47:00,111081,115260,107979,112438,26
01.10.2020,13:48:00,112202,115019,107929,110522,6
01.10.2020,13:49:00,108784,115076,108175,111159,35
01.10.2020,13:50:00,110041,115179,107915,108587,10
01.10.2020,13:51:00,108027,114921,107928,108863,12
01.10.2020,13:52:00,113280,115245,107978,108976,64
01.10.2020,13:53:00,109860,115292,107940,108886,2
01.10.2020,13:54:00,111162,115254,107935,114235,73
01.10.2020,13:55:00,111715,115204,107911,115194,71
01.10.2020,13:56:00,108080,115172,108080,111860,72
01.10.2020,13:57:00,109159,115057,107967,112550,55
01.10.2020,13:58:00,110007,115248,108118,114935,25
01.10.2020,13:59:00,112574,115298,107947,110246,33
01.10.2020,14:00:00,111734,115248,107947,110584,73
01.10.2020,14:01:00,110472,115268,108018,112231,39
01.10.2020,14:02:00,112862,115110,108053,112498,1
01.10.2020,14:03:00,108544,115248,107959,109596,38
01.10.2020,14:04:00,110320,115288,107979,114596,54
01.10.2020,14:05:00,111860,115118,108071,108257,26
01.10.2020,14:06:00,114125,115084,107911,107911,51
01.10.2020,14:07:00,109834,115269,107924,113638,31
01.10.2020,14:08:00,114807,115281,108083,110100,62
01.10.2020,14:09:00,112815,115290,108124,113135,78
01.10.2020,14:10:00,114530,115225,107964,109826,36
01.10.2020,14:11:00,108956,115294,108045,113720,23
01.10.2020,14:12:00,111710,115232,108054,112525,91
01.10.2020,14:13:00,109168,115207,108147,112730,25
01.10.2020,14:14:00,108583,115236,108180,115120,33
01.10.2020,14:15:00,113259,115298,108114,109354,48
01.10.2020,14:16:00,113119,115204,107996,114043,98
01.10.2020,14:17:00,112283,115290,108172,115001,45
01.10.2020,14:18:00,110813,114661,107973,111486,55
01.10.2020,14:19:00,113423,115279,107984,110936,33
01.10.2020,14:20:00,110684,115290,107961,110507,57
01.10.2020,14:21:00,113847,115250,107959,115250,37
01.10.2020,14:22:00,114784,115286,107974,114605,15
01.10.2020,14:23:00,112958,114993,107974,114586,75
01.10.2020,14:24:00,108525,115265,107904,108645,96
01.10.2020,14:25:00,110319,115154,108282,114445,60
01.10.2020,14:26:00,114916,115270,107908,111529,6
01.10.2020,14:27:00,108430,115201,107951,113175,47
01.10.2020,14:28:00,113545,115282,107944,114797,11
01.10.2020,14:29:00,114769,115253,107994,113526,21
01.10.2020,14:30:00,114826,115299,107977,108951,30
01.10.2020,14:31:00,108798,115120,107970,111173,74
01.10.2020,14:32:00,109952,115271,108002,114089,10
01.10.2020,14:33:00,108962,114822,107997,109036,93
01.10.2020,14:34:00,111296,115273,107913,109226,55
01.10.2020,14:35:00,111395,115215,107939,110995,96
01.10.2020,14:36:00,109289,115076,107964,108976,13
01.10.2020,14:37:00,113684,115233,107903,114552,20
01.10.2020,14:38:00,113630,115258,108043,111051,56
01.10.2020,14:39:00,114193,115194,107907,111061,60
01.10.2020,14:40:00,109395,115093,108170,111738,8
01.10.2020,14:41:00,114669,115218,108161,114520,91
01.10.2020,14:42:00,112116,115181,108085,112299,7
01.10.2020,14:43:00,113397,115280,107909,115139,50
01.10.2020,14:44:00,113613,115168,107918,109121,16
01.10.2020,14:45:00,113233,114900,107912,112278,38
01.10.2020,14:46:00,112623,115252,108002,110248,82
01.10.2020,14:47:00,115192,115267,107933,110918,15
01.10.2020,14:48:00,112716,115254,107923,111073,94
01.10.2020,14:49:00,110752,115104,108008,109001,37
01.10.2020,14:50:00,111343,115254,108026,108575,18
01.10.2020,14:51:00,113148,115132,108147,110528,73
01.10.2020,14:52:00,112438,115282,107903,113672,16
01.10.2020,14:53:00,113739,115219,107963,112293,26
01.10.2020,14:54:00,110488,115204,107990,112408,31
01.10.2020,14:55:00,113064,115275,108000,111475,56
01.10.2020,14:56:00,108437,115286,108277,114134,40
01.10.2020,14:57:00,113669,115124,107926,108569,46
01.10.2020,14:58:00,111281,115280,108002,113634,95
01.10.2020,14:59:00,108888,115248,108043,109319,6
